SERVER ID, DATE, DOWNLOAD SPEED (Mbps), UPLOAD SPEED (Mbps)
6521, Wed 07 Aug 2024 11:10:33 AM UTC, 68359042.51467676, 16314386.461780949
8990, Wed 07 Aug 2024 11:10:54 AM UTC, 48034259.20979046, 29969771.809166916
33968, Wed 07 Aug 2024 11:11:15 AM UTC, 64819186.98331013, 14517017.212830776
11823, Wed 07 Aug 2024 11:11:36 AM UTC, 63210798.51301198, 23740231.61141682
12443, Wed 07 Aug 2024 11:11:57 AM UTC, 41244953.64574034, 43084851.436951086
42303, Wed 07 Aug 2024 11:12:20 AM UTC, 71726470.9501787, 60672463.93359241
18487, Wed 07 Aug 2024 11:12:40 AM UTC, 61768723.38142228, 23852831.739836905
16061, Wed 07 Aug 2024 11:13:02 AM UTC, 53584594.82614095, 54222008.05728126
37033, Wed 07 Aug 2024 11:13:22 AM UTC, 51348727.101133004, 35952382.787453786
65397, Wed 07 Aug 2024 11:13:44 AM UTC, 59951411.07337797, 28620880.370768957
